,avgLearningHours,tagline,name,partnerLogos,isPartOfCourseraPlus,productDurationEnum,subtitleLanguage,productDifficultyLevel,enrollments,partners,language,entityType,numProductRatings,allLanguageCodes,avgProductRating,skills,imageUrl,isCourseFree,objectUrl,objectID,_snippetResult.description.value,_highlightResult.name.value
0,,,Google Data Analytics,['http://coursera-university-assets.s3.amazonaws.com/4a/cb36835ae3421187080898a7ecc11d/Google-G_360x360.png'],TRUE,3+ Months,[],Beginner,839346,['Google'],English,PROFESSIONAL CERTIFICATE,53464,['en'],4.755946057,"['Algorithms', 'Analysis', 'Application Development', 'Big Data', 'Budget Management', 'Business Analysis', 'Business Communication', 'Change Management', 'Cloud Computing', 'Communication', 'Computer Networking', 'Computer Programming', 'Computer Programming Tools', 'Cryptography', 'Data Analysis', 'Data Analysis Software', 'Data Management', 'Data Mining', 'Data Model', 'Data Structures', 'Data Visualization', 'Data Visualization Software', 'Database Administration', 'Database Design', 'Databases', 'Decision Making', 'Design and Product', 'Econometrics', 'Entrepreneurship', 'Experiment', 'Extract, Transform, Load', 'Feature Engineering', 'Finance', 'General Statistics', 'Leadership and Management', 'Machine Learning', 'Network Security', 'Other Programming Languages', 'Plot (Graphics)', 'Probability & Statistics', 'Problem Solving', 'Product Design', 'Programming Principles', 'Project Management', 'R Programming', 'Research and Design', 'SQL', 'Security Engineering', 'Security Strategy', 'Small Data', 'Software', 'Software Engineering', 'Software Security', 'Spreadsheet', 'Spreadsheet Software', 'Statistical Analysis', 'Statistical Programming', 'Statistical Visualization', 'Storytelling', 'Strategy and Operations', 'Theoretical Computer Science']",https://d15cw65ipctsrr.cloudfront.net/ba/e14875b76f4e799e067d3551076e8c/1200x600_DA.png,FALSE,/professional-certificates/google-data-analytics,s12n~kr43OcbTEeqeNBKhfgCLyw,"Prepare for a new career in the high-growth field of data analytics, no experience or degree required. Get professional",Google Data Analytics
1,,,Google Project Management:,['http://coursera-university-assets.s3.amazonaws.com/4a/cb36835ae3421187080898a7ecc11d/Google-G_360x360.png'],TRUE,3+ Months,[],Beginner,603303,['Google'],English,PROFESSIONAL CERTIFICATE,37817,['en'],4.839717587,"['Agile Management', 'Agile Software Development', 'Application Development', 'Budget Management', 'Business Process Management', 'Business Psychology', 'Change Management', 'Communication', 'Culture', 'Data Analysis', 'Decision Making', 'Design and Product', 'Entrepreneurship', 'Finance', 'Human Resources', 'Influencing', 'Leadership Development', 'Leadership and Management', 'Marketing', 'Operations Management', 'Operations Research', 'Organizational Development', 'Planning', 'Probability & Statistics', 'Procurement', 'Product Design', 'Project', 'Project Management', 'Project Plan', 'Public Relations', 'Research and Design', 'Risk Management', 'Software Engineering', 'Software Engineering Tools', 'Software Testing', 'Storytelling', 'Strategy and Operations', 'Supply Chain Systems', 'Supply Chain and Logistics', 'User Experience', 'Vendor Management']",https://d15cw65ipctsrr.cloudfront.net/8a/f7f459f9674408947edb8e594a5da3/1200x600_PgM.png,FALSE,/professional-certificates/google-project-management,s12n~fq9UWMbTEeqpthJ2RmWGow,"Prepare for a new career in the high-growth field of project management, no experience or degree required. Get professional",Google Project Management:
2,,,Google UX Design,['http://coursera-university-assets.s3.amazonaws.com/4a/cb36835ae3421187080898a7ecc11d/Google-G_360x360.png'],TRUE,3+ Months,[],Beginner,478858,['Google'],English,PROFESSIONAL CERTIFICATE,30025,['en'],4.815253955,"['Advertising', 'Brand Management', 'Business Psychology', 'Change Management', 'Communication', 'Computer Programming', 'Design and Product', 'Entrepreneurship', 'Experience', 'Human Computer Interaction', 'Interactive Design', 'Leadership and Management', 'Marketing', 'Problem Solving', 'Programming Principles', 'Research and Design', 'Sales', 'Social Media', 'Strategy', 'Strategy and Operations', 'User Experience', 'User Experience Design', 'User Research', 'Visual Design', 'Web', 'Web Design', 'Web Development', 'Website Wireframe']",https://d15cw65ipctsrr.cloudfront.net/75/32388ec64444d7a2b09297c0b59c56/1200x600_UXD.png,FALSE,/professional-certificates/google-ux-design,s12n~Z-5wCcbTEeqeNBKhfgCLyw,"Prepare for a career in the high-growth field of UX design, no experience or degree required. With professional training",Google UX Design
3,,,IBM Data Science,['http://coursera-university-assets.s3.amazonaws.com/bb/f5ced2bdd4437aa79f00eb1bf7fbf0/IBM-Logo-Blk---Square.png'],FALSE,3+ Months,"['Arabic', 'French', 'German', 'Italian', 'Korean', 'Persian', 'Portuguese (Portugal)', 'Russian', 'Spanish', 'Turkish', 'Vietnamese']",Beginner,1092602,['IBM'],English,PROFESSIONAL CERTIFICATE,90160,"['ar', 'en', 'fr', 'de', 'it', 'ko', 'fa', 'pt', 'ru', 'es', 'tr', 'vi']",4.60521961,"['Algebra', 'Algorithms', 'Analysis', 'Business Analysis', 'Cloud API', 'Cloud Computing', 'Communication', 'Computational Logic', 'Computer Programming', 'Computer Programming Tools', 'Correlation And Dependence', 'Data Analysis', 'Data Management', 'Data Mining', 'Data Structures', 'Data Visualization', 'Database Administration', 'Database Application', 'Databases', 'Econometrics', 'Exploratory Data Analysis', 'Extract, Transform, Load', 'General Statistics', 'Machine Learning', 'Machine Learning Algorithms', 'Marketing', 'Mathematical Theory & Analysis', 'Mathematics', 'Plot (Graphics)', 'Probability & Statistics', 'Python Programming', 'R Programming', 'Regression', 'SPSS', 'SQL', 'Spreadsheet Software', 'Statistical Analysis', 'Statistical Machine Learning', 'Statistical Programming', 'Statistical Visualization', 'Theoretical Computer Science', 'Web']",https://d15cw65ipctsrr.cloudfront.net/23/22bc54f77f45a2b057f4ff518d272f/iStock-1169539468.jpg,FALSE,/professional-certificates/ibm-data-science,s12n~dwzq23ZLEei12goo904QNg,"Data science is one of the hottest professions of the decade, and the demand for data scientists who can analyze",IBM Data Science
4,,,Google IT Support,['http://coursera-university-assets.s3.amazonaws.com/4a/cb36835ae3421187080898a7ecc11d/Google-G_360x360.png'],TRUE,3+ Months,"['Arabic', 'French', 'German', 'Italian', 'Portuguese (Brazil)', 'Portuguese (Portugal)', 'Russian', 'Spanish', 'Vietnamese']",Beginner,1243862,['Google'],English,PROFESSIONAL CERTIFICATE,132269,"['ar', 'en', 'fr', 'de', 'it', 'pt', 'ru', 'es', 'vi']",4.774156454,"['Application Development', 'Backup', 'Cloud Computing', 'Communication', 'Computer Architecture', 'Computer Graphics', 'Computer Networking', 'Computer Programming', 'Cyberattacks', 'Data Architecture', 'Data Management', 'Database Administration', 'Database Application', 'Databases', 'File System', 'Hardware Design', 'Human Computer Interaction', 'Mathematics', 'Microarchitecture', 'Network Architecture', 'Network Security', 'Networking Hardware', 'Operating Systems', 'Product Lifecycle', 'Security', 'Security Engineering', 'Security Software', 'Software As A Service', 'Software Engineering', 'Software Security', 'System Security', 'Systems Design', 'Theoretical Computer Science', 'Virtual Reality', 'Writing']",https://d15cw65ipctsrr.cloudfront.net/14/b2d530f1ad11e7ab380fc0c6c817a8/Search-Thumbnail.jpg,FALSE,/professional-certificates/google-it-support,s12n~7lHCSlFIEeeffRIHljDI_g,"Prepare for a career in the high-growth field of IT, no experience or degree required. Get professional training designed",Google IT Support
5,,,IBM Data Analyst,['http://coursera-university-assets.s3.amazonaws.com/bb/f5ced2bdd4437aa79f00eb1bf7fbf0/IBM-Logo-Blk---Square.png'],FALSE,3+ Months,"['Arabic', 'French', 'German', 'Italian', 'Korean', 'Persian', 'Portuguese (Portugal)', 'Russian', 'Spanish', 'Turkish', 'Vietnamese']",Beginner,759989,['IBM'],English,PROFESSIONAL CERTIFICATE,47701,"['ar', 'en', 'fr', 'de', 'it', 'ko', 'fa', 'pt', 'ru', 'es', 'tr', 'vi']",4.609322656,"['Algebra', 'Analysis', 'Apache', 'Big Data', 'Business Analysis', 'Computational Logic', 'Computer Programming', 'Computer Programming Tools', 'Correlation And Dependence', 'Data Analysis', 'Data Analysis Software', 'Data Management', 'Data Mining', 'Data Visualization', 'Data Visualization Software', 'Data Warehousing', 'Database Administration', 'Database Application', 'Databases', 'Econometrics', 'Exploratory Data Analysis', 'Extract, Transform, Load', 'General Statistics', 'Machine Learning', 'Mathematical Theory & Analysis', 'Mathematics', 'Microsoft Excel', 'NoSQL', 'Operating Systems', 'Plot (Graphics)', 'Probability & Statistics', 'Python Programming', 'Regression', 'SQL', 'Spreadsheet Software', 'Statistical Analysis', 'Statistical Machine Learning', 'Statistical Programming', 'Statistical Visualization', 'System Programming', 'Theoretical Computer Science', 'Web']",https://d15cw65ipctsrr.cloudfront.net/63/baf9bea98641aeb8fd36a7b1291791/DA-PC_Image.jpg,FALSE,/professional-certificates/ibm-data-analyst,s12n~7qRy6fOWEeqIvgrCa-MVgQ,Gain the job-ready skills for an entry-level data analyst role through this eight-course Professional Certificate from IBM,IBM Data Analyst
6,,"Launch your career in data science
Offered by IBM",Introduction to Data Science,['http://coursera-university-assets.s3.amazonaws.com/bb/f5ced2bdd4437aa79f00eb1bf7fbf0/IBM-Logo-Blk---Square.png'],FALSE,3+ Months,"['Arabic', 'French', 'German', 'Italian', 'Persian', 'Portuguese (Portugal)', 'Russian', 'Spanish', 'Turkish', 'Vietnamese']",Beginner,713625,['IBM'],English,SPECIALIZATION,66779,"['ar', 'en', 'fr', 'de', 'it', 'fa', 'pt', 'ru', 'es', 'tr', 'vi']",4.620834394,"['Communication', 'Computer Programming', 'Data Analysis', 'Data Management', 'Data Mining', 'Database Administration', 'Database Application', 'Databases', 'General Statistics', 'Machine Learning', 'Marketing', 'Probability & Statistics', 'Python Programming', 'R Programming', 'Regression', 'SPSS', 'SQL', 'Statistical Programming']",https://d15cw65ipctsrr.cloudfront.net/32/d719a2d0d946d59e1151bc10ec29f5/Specialization-Certificate-Emblem---IDS---600x600.png,FALSE,/specializations/introduction-data-science,s12n~_Fk2Gi3cEeiHghIydZ_0lA,"Interested in learning more about data science, but don?�t know where to start? This 4-course Specialization from IBM",Introduction to Data Science
7,,"Build the Foundation for your Data Science career
Offered by IBM",Data Science Fundamentals with Python and SQL,['http://coursera-university-assets.s3.amazonaws.com/bb/f5ced2bdd4437aa79f00eb1bf7fbf0/IBM-Logo-Blk---Square.png'],FALSE,3+ Months,"['Arabic', 'French', 'German', 'Italian', 'Korean', 'Persian', 'Portuguese (Portugal)', 'Russian', 'Spanish', 'Vietnamese']",Beginner,599163,['IBM'],English,SPECIALIZATION,44789,"['ar', 'en', 'fr', 'de', 'it', 'ko', 'fa', 'pt', 'ru', 'es', 'vi']",4.548887004,"['Basic Descriptive Statistics', 'Computational Logic', 'Computer Programming', 'Data Analysis', 'Data Management', 'Data Visualization', 'Database Administration', 'Database Application', 'Databases', 'Extract, Transform, Load', 'General Statistics', 'Machine Learning', 'Mathematical Theory & Analysis', 'Mathematics', 'Probability & Statistics', 'Python Programming', 'R Programming', 'SPSS', 'SQL', 'Statistical Hypothesis Testing', 'Statistical Programming', 'Theoretical Computer Science', 'Web']",https://d15cw65ipctsrr.cloudfront.net/bd/0202c87e244d30bdecd889bd2719ae/DataScienceFundamentalsPythonSQL.png,FALSE,/specializations/data-science-fundamentals-python-sql,s12n~kuGzQBrlEeuKTA7v2iL8uQ,"Data Science is one of the hottest professions of the decade, and the demand for data scientists who can analyze",Data Science Fundamentals with Python and SQL
8,,"Get Ahead with Key Business Technologies
Offered by IBM",Key Technologies for Business,['http://coursera-university-assets.s3.amazonaws.com/bb/f5ced2bdd4437aa79f00eb1bf7fbf0/IBM-Logo-Blk---Square.png'],FALSE,1-3 Months,"['Arabic', 'French', 'German', 'Italian', 'Portuguese (Portugal)', 'Russian', 'Spanish', 'Turkish', 'Vietnamese']",Beginner,764550,['IBM'],English,SPECIALIZATION,63411,"['ar', 'en', 'fr', 'de', 'it', 'pt', 'ru', 'es', 'tr', 'vi']",4.688994023,"['Applied Machine Learning', 'BlockChain', 'Cloud Computing', 'Cloud Infrastructure', 'Cloud Platforms', 'Cloud Storage', 'Communication', 'Computer Architecture', 'Computer Graphics', 'Computer Networking', 'Computer Programming', 'Computer Vision', 'Cryptography', 'Data Analysis', 'Data Mining', 'Deep Learning', 'DevOps', 'Finance', 'General Statistics', 'Human Computer Interaction', 'Interactive Design', 'Machine Learning', 'Machine Learning Algorithms', 'Network Architecture', 'Network Security', 'Operating Systems', 'Probability & Statistics', 'Regression', 'Security Engineering', 'Software Architecture', 'Software As A Service', 'Software Engineering', 'Software Framework', 'System Programming', 'Theoretical Computer Science']",https://d15cw65ipctsrr.cloudfront.net/93/1543b8c7d64dad864ca79e876a065d/Key-Technology-Foundations-1-.png,FALSE,/specializations/key-technologies-for-business,s12n~mF13zqpxEeqDdgqb325wdw,"In this Specialization, we will cover 3 key technologies that are foundational and driving significant growth and innovation. These are",Key Technologies for Business
9,,"Become a Machine Learning expert
Offered by DeepLearning.AI",Deep Learning,['http://coursera-university-assets.s3.amazonaws.com/b4/5cb90bb92f420b99bf323a0356f451/Icon.png'],FALSE,3+ Months,"['Arabic', 'Chinese (China)', 'Chinese (Traditional)', 'French', 'German', 'Italian', 'Japanese', 'Korean', 'Portuguese (Brazil)', 'Portuguese (Portugal)', 'Russian', 'Spanish', 'Turkish', 'Ukrainian', 'Vietnamese']",Intermediate,1172983,['DeepLearning.AI'],English,SPECIALIZATION,131921,"['ar', 'zh', 'en', 'fr', 'de', 'it', 'ja', 'ko', 'pt', 'ru', 'es', 'tr', 'uk', 'vi']",4.843228144,"['Algorithms', 'Applied Machine Learning', 'Artificial Neural Networks', 'Bayesian Statistics', 'Big Data', 'Communication', 'Computer Graphic Techniques', 'Computer Graphics', 'Computer Programming', 'Computer Vision', 'Convolutional Neural Network', 'Data Management', 'Deep Learning', 'Entrepreneurship', 'General Statistics', 'Human Computer Interaction', 'Interactive Design', 'Linear Algebra', 'Machine Learning', 'Machine Learning Algorithms', 'Mathematical Optimization', 'Mathematical Theory & Analysis', 'Mathematics', 'Natural Language Processing', 'Probability & Statistics', 'Python Programming', 'Regression', 'Statistical Machine Learning', 'Statistical Programming', 'Strategy and Operations', 'Theoretical Computer Science']",https://d15cw65ipctsrr.cloudfront.net/a4/079d5e7c7b45ac9107f22bfcfeab91/Specialization-logo.png,FALSE,/specializations/deep-learning,s12n~W62RsyrdEeeFQQqyuQaohA,"The Deep Learning Specialization is a foundational program that will help you understand the capabilities, challenges, and consequences of deep",Deep Learning
